"Story","Title","Result","Date","Stability","Duration (s)"
"Dummy rest APICURD test","This will create a new employee","SUCCESS","2022-06-21T20:22:00.917+01:00[Europe/London]","0.0","0.84"
"Dummy rest APICURD test","This will Read an employee by ID","SUCCESS","2022-06-21T20:22:01.777+01:00[Europe/London]","0.0","0.92"
"Dummy rest APICURD test","This will Delete an employee by ID","SUCCESS","2022-06-21T20:22:04.652+01:00[Europe/London]","0.0","1.55"
"Dummy rest APICURD test","1. Verify if total records are 24","SUCCESS","2022-06-21T20:22:06.199+01:00[Europe/London]","0.0","0.86"
"Dummy rest APICURD test","2. Verify if 24th Data id is 24","SUCCESS","2022-06-21T20:22:07.058+01:00[Europe/London]","0.0","0.89"
"Dummy rest APICURD test","3. Verify if 23rd employee name is Doris Wilder","SUCCESS","2022-06-21T20:22:07.948+01:00[Europe/London]","0.0","0.8"
"Dummy rest APICURD test","6. Verify 3rd id salary is 86000","SUCCESS","2022-06-21T20:22:10.636+01:00[Europe/London]","0.0","0.81"
"Dummy rest APICURD test","8. Verify 11th id name is Jena Gaines","SUCCESS","2022-06-21T20:22:12.276+01:00[Europe/London]","0.0","0.86"
