"Story","Title","Result","Date","Stability","Duration (s)"
"As a user I would like to check CRUD operation of the application","I want to create a new employee","SUCCESS","2022-06-21T20:21:47.637+01:00[Europe/London]","0.0","6.42"
"As a user I would like to check CRUD operation of the application","I want to read a new employee","SUCCESS","2022-06-21T20:21:55.605+01:00[Europe/London]","0.0","2.09"
"As a user I would like to check CRUD operation of the application","I want to update a newly created employee","SUCCESS","2022-06-21T20:21:57.777+01:00[Europe/London]","0.0","0.77"
"As a user I would like to check CRUD operation of the application","I want to delete a newly created employee","SUCCESS","2022-06-21T20:21:58.652+01:00[Europe/London]","0.0","0.78"
"As a user I would like to check CRUD operation of the application","I want to fetch all employees and verify some from the response","SUCCESS","2022-06-21T20:21:59.511+01:00[Europe/London]","0.0","1.19"
