"Story","Title","Result","Date","Stability","Duration (s)"
"Dummy rest APICURD test","This will Update an employee by ID","ERROR","2022-06-21T20:22:02.699+01:00[Europe/London]","0.0","1.94"
"Dummy rest APICURD test","4. Verify if message is Successfully! All records has been fetched","ERROR","2022-06-21T20:22:08.745+01:00[Europe/London]","0.0","0.8"
"Dummy rest APICURD test","5. Verify if status is success","ERROR","2022-06-21T20:22:09.542+01:00[Europe/London]","0.0","1.09"
"Dummy rest APICURD test","7. Verify 6th id age is 61","ERROR","2022-06-21T20:22:11.448+01:00[Europe/London]","0.0","0.83"
